"","iso3","country","year","pop_mln","gdp_blnUSDMER","gdp_blnUSDPPP","fossil_CO2_MtCO2","LULUCF_MtCO2","NonCO2_MtCO2e","vol_rdxn_MtCO2","allocation_MtCO2","responsibility_MtCO2","a1_dom_rdxn_MtCO2","net_import_MtCO2","capacity_blnUSDMER","rci","pop_mln_above_dl","pop_mln_above_lux","lux_emiss_MtCO2","lux_emiss_applied_MtCO2","kyoto_gap_MtCO2","base_emissions_mtco2e","net_emissions_mtco2e","NDCuncon_emissions_target_mtco2e","NDCcon_emissions_target_mtco2e","rb1_NDCuncon_mtco2e","rb1_NDCcon_mtco2e"
"182","MYS","Malaysia",1850,0.503302,0.30411896,0.479899688,0,19.899,0.429,0,0.429,0.001153806,0,0,0.000817936,1.54e-05,0.000622067,4.03e-10,3.99e-09,0,0,0.429,20.328,NA,NA,NA,NA
"183","MYS","Malaysia",1851,0.513771,0.3110055,0.490766648,0,19.899,0.44,0,0.44,0.00231516,0,0,0.000841929,1.52e-05,0.000639867,4.17e-10,4.14e-09,0,0,0.44,20.339,NA,NA,NA,NA
"184","MYS","Malaysia",1852,0.524458,0.318048,0.501879712,0,19.899,0.451,0,0.451,0.003514076,0,0,0.00086662,1.52e-05,0.000658171,4.32e-10,4.3e-09,0,0,0.451,20.35,NA,NA,NA,NA
"185","MYS","Malaysia",1853,0.535366,0.32525,0.513244467,0,19.899,0.458333333,0,0.458333333,0.004751003,0,0,0.000892041,1.51e-05,0.000677002,4.48e-10,4.43e-09,0,0,0.458333333,20.357333333,NA,NA,NA,NA
"186","MYS","Malaysia",1854,0.546502,0.33261499,0.524866421,0,19.899,0.46933337,0,0.46933337,0.006016246,0,0,0.000918194,1.52e-05,0.000696362,4.63e-10,4.59e-09,0,0,0.46933337,20.36833337,NA,NA,NA,NA
"187","MYS","Malaysia",1855,0.55787,0.34014684,0.53675168,0,19.899,0.480333333,0,0.480333333,0.007320304,0,0,0.000945109,1.49e-05,0.000716272,4.8e-10,4.76e-09,0,0,0.480333333,20.379333333,NA,NA,NA,NA
"188","MYS","Malaysia",1856,0.569474,0.34784919,0.548905987,0,20.0016663,0.487666667,0,0.487666667,0.008663625,0,0,0.00097281,1.5e-05,0.000736749,4.97e-10,4.9e-09,0,0,0.487666667,20.489332967,NA,NA,NA,NA
"189","MYS","Malaysia",1857,0.581319,0.355726,0.561335592,0,20.0016663,0.495000037,0,0.495000037,0.010036343,0,0,0.001001322,1.46e-05,0.00075781,5.15e-10,5.04e-09,0,0,0.495000037,20.496666337,NA,NA,NA,NA
"190","MYS","Malaysia",1858,0.59341,0.36378112,0.574046571,0,20.0016663,0.506,0,0.506,0.011438779,0,0,0.001030666,1.45e-05,0.00077947,5.33e-10,5.21e-09,0,0,0.506,20.5076663,NA,NA,NA,NA
"191","MYS","Malaysia",1859,0.605752,0.37201875,0.58704555,0,20.1006663,0.517,0,0.517,0.012881718,0,0,0.00106087,1.44e-05,0.000801748,5.52e-10,5.4e-09,0,0,0.517,20.6176663,NA,NA,NA,NA
