"","iso3","country","year","pop_mln","gdp_blnUSDMER","gdp_blnUSDPPP","fossil_CO2_MtCO2","LULUCF_MtCO2","NonCO2_MtCO2e","vol_rdxn_MtCO2","allocation_MtCO2","responsibility_MtCO2","a1_dom_rdxn_MtCO2","net_import_MtCO2","capacity_blnUSDMER","rci","pop_mln_above_dl","pop_mln_above_lux","lux_emiss_MtCO2","lux_emiss_applied_MtCO2","kyoto_gap_MtCO2","base_netemissions_mtco2e","NDCuncon_emissions_target_mtco2e","NDCcon_emissions_target_mtco2e","rb2_NDCuncon_mtco2e","rb2_NDCcon_mtco2e"
"82","MYS","Malaysia",1950,6.109902,8.5190601,13.44307599,4.546666667,58.09833333,5.753,0,68.398,2.346536386,0,0,0.292264167,0.000467382,0.153337926,2.1e-06,0.000143943,0,0,68.397999997,NA,NA,NA,NA
"83","MYS","Malaysia",1951,6.271228,9.2123756,14.53712778,6.537666667,59.202,5.906999633,0,71.6466663,5.014557691,0,0,0.359349899,0.000492932,0.183556348,3.03e-06,0.000204121,0,0,71.6466663,NA,NA,NA,NA
"84","MYS","Malaysia",1952,6.449609,8.7036381,13.73434005,8.019,60.5,6.072,0,74.591,7.278687052,0,0,0.275046469,0.00043689,0.146707407,1.78e-06,0.000129584,0,0,74.591,NA,NA,NA,NA
"85","MYS","Malaysia",1953,6.639418,9.1187096,14.38932284,8.216999633,53.40133333,6.240666667,0,67.85899963,9.742821031,0,0,0.301239053,0.000430525,0.159260418,2.06e-06,0.00013073,0,0,67.85899963,NA,NA,NA,NA
"86","MYS","Malaysia",1954,6.836639,9.161869,14.45742837,8.891666667,53.00166667,6.442333333,0,68.33566667,11.84964349,0,0,0.284449101,0.000405051,0.152254308,1.8e-06,0.000113936,0,0,68.33566667,NA,NA,NA,NA
"87","MYS","Malaysia",1955,7.03891,9.7403965,15.3703447,9.430666667,53.10066667,6.640333333,0,69.17166667,14.15013709,0,0,0.327906654,0.000401767,0.172699997,2.3e-06,0.000139268,0,0,69.17166667,NA,NA,NA,NA
"88","MYS","Malaysia",1956,7.24568,9.804678,15.4717809,9.599333333,53.10066667,6.867666667,0,69.56766667,16.35123816,0,0,0.311993164,0.000380158,0.166185952,2.04e-06,0.000122819,0,0,69.56766667,NA,NA,NA,NA
"89","MYS","Malaysia",1957,7.458015,10.395144,16.40353619,4.667666667,53.19966667,7.197667033,0,65.06500037,18.73584509,0,0,0.356319734,0.000371937,0.186977873,2.55e-06,0.000136653,0,0,65.06500037,NA,NA,NA,NA
"90","MYS","Malaysia",1958,7.678381,10.337291,16.31224416,5.096666667,52.49933333,7.450667033,0,65.04666703,20.77964816,0,0,0.324712011,0.000351066,0.173405139,2.09e-06,0.000111433,0,0,65.04666703,NA,NA,NA,NA
"91","MYS","Malaysia",1959,7.910188,10.336371,16.3107924,4.227666667,52.8,7.678000367,0,64.70566703,28.21973145,0,0,1.182281347,0.000514944,0.337723912,0.000472644,0.050404899,0,0,64.705667034,NA,NA,NA,NA
"92","MYS","Malaysia",1960,8.156342,11.043462,17.42658193,5.573333333,53.19966667,7.975,0,66.748,35.98364384,0,0,1.325084423,0.000564974,0.372690801,0.000555297,0.057683598,0,0,66.748000003,NA,NA,NA,NA
"93","MYS","Malaysia",1961,8.417821,11.882545,18.75065482,6.218666667,53.9,8.2463337,0,68.36500037,40.94094725,0,0,0.882504057,0.00051246,0.32928124,8.49e-05,0.006081342,0,0,68.365000367,NA,NA,NA,NA
"94","MYS","Malaysia",1962,8.692337,12.645526,19.95463876,6.346999633,52.19866667,8.568999633,0,67.11466593,46.29509589,0,0,0.990360937,0.000520909,0.36426614,0.000101132,0.006735144,0,0,67.114665936,NA,NA,NA,NA
"95","MYS","Malaysia",1963,8.973791,13.573556,21.41907001,7.7623337,52.8,8.832999633,0,69.39533333,51.91816728,0,0,1.137233916,0.00053095,0.410529968,0.000125413,0.008127027,0,0,69.395333333,NA,NA,NA,NA
"96","MYS","Malaysia",1964,9.253827,14.300958,22.56691029,9.8706663,52.09966667,9.144666667,0,71.11499963,57.949378,0,0,1.242909099,0.000534478,0.444028385,0.000142979,0.009062519,0,0,71.114999637,NA,NA,NA,NA
"97","MYS","Malaysia",1965,9.526558,15.399967,24.30114639,11.1283337,53.00166667,9.515,0,73.64500037,64.61516187,0,0,1.443476794,0.000544102,0.504435478,0.000181345,0.011184896,0,0,73.64500037,NA,NA,NA,NA
"98","MYS","Malaysia",1966,9.790083,16.603739,26.20069848,13.08633333,53.999,9.793666667,0,76.879,72.08362926,0,0,1.683814008,0.000557425,0.574555315,0.00023224,0.014046272,0,0,76.878999997,NA,NA,NA,NA
